Unnamed: 0,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,selling_price,model_start_year
12552,Maruti,Eeco,4,27000,Petrol,Manual,15.37,1200,410000,2010
5577,Renault,Duster,5,100000,Diesel,Manual,19.64,1500,600000,2012
14707,BMW,5,1,15000,Diesel,Automatic,18.59,3000,5400000,2007
2487,Ford,Figo,4,42267,Diesel,Manual,25.83,1500,600000,2010
8361,Maruti,Swift,7,44235,Diesel,Manual,25.2,1250,410000,2005
6959,Maruti,Wagon R,6,60000,Petrol,Manual,20.51,1000,310000,1999
2815,Skoda,Rapid,5,72000,Diesel,Automatic,21.66,1500,580000,2011
12356,Maruti,Vitara,3,93550,Diesel,Automatic,24.3,1250,875000,2016
12795,Renault,Duster,2,7131,Petrol,Automatic,14.99,1500,1099000,2012
892,Hyundai,Verna,5,25000,Petrol,Manual,17.01,1600,780000,2006
12962,Honda,Amaze,7,81747,Petrol,Manual,18.6,1200,400000,2013
11258,Hyundai,Verna,9,74000,Petrol,Manual,17.1,1600,415000,2006
6690,Ford,Ecosport,4,50852,Diesel,Manual,23.0,1500,780000,2013
4167,Ford,Ecosport,3,50000,Diesel,Manual,23.0,1500,980000,2013
8848,Maruti,Swift,14,70000,Diesel,Manual,17.8,1250,120000,2005
7868,Mahindra,Scorpio,2,20000,Diesel,Manual,15.4,2500,982000,2002
7525,Mahindra,Scorpio,6,65859,Diesel,Manual,15.4,2200,975000,2002
10110,Renault,Duster,7,90000,Diesel,Manual,20.45,1500,500000,2012
3490,Jeep,Compass,4,25216,Petrol,Automatic,16.0,1400,1450000,2017
3621,Ford,Ecosport,3,15000,Petrol,Manual,17.0,1500,900000,2013
2233,BMW,3,6,40000,Diesel,Automatic,21.76,2000,2800000,2007
10154,Honda,City,11,50000,Petrol,Automatic,16.8,1500,350000,1998
7091,Maruti,Swift,9,106600,Petrol,Manual,18.6,1200,300000,2005
13801,Ford,Figo,9,79000,Diesel,Manual,20.0,1400,365000,2010
671,Hyundai,i20,4,90000,Petrol,Manual,18.6,1200,500000,2008
254,Maruti,Swift Dzire,7,120000,Diesel,Manual,23.4,1250,450000,2008
7172,Mahindra,Thar,4,44000,Diesel,Manual,16.55,2500,699000,2010
9434,Maruti,Wagon R,16,74000,Petrol,Manual,17.3,1100,74000,1999
5023,Maruti,Swift Dzire,11,35966,Petrol,Manual,17.5,1300,260000,2008
14073,Maruti,Swift,4,70000,Diesel,Manual,25.2,1250,600000,2005
11293,Honda,Amaze,2,19000,Petrol,Manual,19.5,1200,578000,2013
3473,Maruti,Swift Dzire,8,154000,Petrol,Manual,19.1,1200,420000,2008
15089,Honda,Amaze,7,110000,Diesel,Manual,25.8,1500,265000,2013
11550,Maruti,Ciaz,6,49000,Diesel,Manual,28.09,1250,550000,2014
7591,Maruti,Swift,3,39001,Petrol,Automatic,21.21,1200,625000,2005
711,Maruti,Alto,7,14971,Petrol,Manual,22.74,800,230000,2000
1917,Mahindra,Scorpio,10,105000,Diesel,Manual,12.05,2200,460000,2002
9082,Maruti,Baleno,3,50000,Petrol,Manual,21.4,1200,560000,2015
10824,Ford,Ecosport,5,78648,Diesel,Manual,22.77,1500,596000,2013
14806,Tata,Nexon,3,70000,Diesel,Manual,21.5,1500,733000,2017
2679,Datsun,GO,6,22211,Petrol,Manual,19.02,1200,249000,2014
9178,Hyundai,i20,6,68237,Petrol,Manual,18.6,1200,490000,2008
5498,Renault,Duster,8,50000,Diesel,Manual,19.87,1500,500000,2012
7706,Mahindra,XUV500,5,95961,Diesel,Manual,16.0,2200,1225000,2011
4509,Hyundai,i20,3,104000,Diesel,Manual,22.54,1400,750000,2008
13501,Tata,Hexa,2,42187,Diesel,Manual,17.6,2200,1495000,2017
12876,Maruti,Alto,7,64531,Petrol,Manual,23.95,1000,355000,2000
13934,BMW,3,7,69000,Diesel,Automatic,18.88,2000,2145000,2007
5410,Hyundai,i10,11,70000,Petrol,Manual,20.36,1200,290000,2007
14709,Jaguar,XF,9,105000,Diesel,Automatic,14.74,3000,1900000,2009
14009,Maruti,Alto,13,50000,Petrol,Manual,19.7,800,110000,2000
11427,Maruti,Ertiga,4,63000,Diesel,Manual,24.2,1500,725000,2012
13744,Ford,Figo,6,96000,Diesel,Manual,20.0,1400,425000,2010
10912,Volkswagen,Polo,9,62000,Diesel,Manual,22.07,1200,225000,2010
10753,Hyundai,Grand,5,29250,Petrol,Manual,18.9,1200,445000,2013
10417,Toyota,Fortuner,3,29456,Diesel,Automatic,12.9,2800,3000000,2009
6192,Hyundai,Grand,3,9095,Petrol,Manual,18.9,1200,579000,2013
4264,Mahindra,Scorpio,14,75823,Diesel,Manual,10.5,2200,310000,2002
5367,Volkswagen,Vento,9,120000,Diesel,Manual,20.54,1600,350000,2010
6706,Maruti,Ertiga,3,80000,Diesel,Manual,24.52,1250,930000,2012
9966,Maruti,Swift,9,64000,Diesel,Manual,22.9,1250,275000,2005
7996,Ford,Figo,10,25000,Petrol,Manual,15.6,1200,230000,2010
13639,Hyundai,Grand,4,50000,Diesel,Manual,24.0,1200,500000,2013
5241,Ford,Ecosport,8,94000,Diesel,Manual,22.7,1500,525000,2013
6998,Hyundai,Grand,4,40813,Petrol,Manual,18.9,1200,450000,2013
2803,Toyota,Innova,5,40000,Diesel,Manual,13.68,2400,1500000,2005
4614,Honda,City,8,80400,Petrol,Automatic,16.8,1500,550000,1998
8633,Hyundai,Elantra,8,130600,Diesel,Manual,22.7,1600,525000,2004
5189,Honda,City,7,65000,Diesel,Manual,26.0,1500,550000,1998
5521,Hyundai,i20,9,52253,Diesel,Manual,21.9,1400,480000,2008
6742,Maruti,Wagon R,9,50000,Petrol,Manual,18.9,1000,280000,1999
10759,Mahindra,Thar,6,40000,Diesel,Manual,18.06,2500,650000,2010
2507,Maruti,Swift,11,92182,Diesel,Manual,17.8,1250,295000,2005
8269,Mahindra,KUV100,3,16000,Petrol,Manual,18.15,1200,480000,2016
4201,Maruti,Swift,6,43000,Petrol,Manual,22.0,1200,540000,2005
8401,Hyundai,Grand,4,12000,Petrol,Manual,18.9,1200,445000,2013
9661,Maruti,Baleno,4,24000,Petrol,Manual,21.01,1200,675000,2015
11610,Hyundai,Santro,13,54000,Petrol,Manual,17.92,1100,235000,1998
12331,Maruti,Alto,1,5000,Petrol,Manual,22.05,800,373000,2000
437,Mahindra,XUV500,4,60000,Diesel,Automatic,16.0,2200,1150000,2011
1929,Toyota,Innova,4,110000,Diesel,Manual,13.68,2400,1700000,2005
10770,Skoda,Rapid,4,60000,Diesel,Automatic,21.72,1500,690000,2011
14241,Hyundai,i20,7,44000,Diesel,Manual,22.54,1400,460000,2008
14196,Honda,Amaze,4,33033,Petrol,Manual,17.8,1200,475000,2013
259,Mahindra,Scorpio,4,42000,Diesel,Manual,15.4,2000,1025000,2002
6916,Mercedes-Benz,GL-Class,6,115000,Diesel,Automatic,11.3,3000,3700000,2010
3326,Hyundai,i20,10,35000,Petrol,Manual,17.0,1200,375000,2008
7415,Renault,KWID,6,5000,Petrol,Manual,25.17,800,250000,2015
8907,Mahindra,XUV500,6,40000,Diesel,Manual,15.1,2200,700000,2011
11459,Hyundai,i10,9,65000,Petrol,Manual,20.36,1200,240000,2007
10655,BMW,3,4,18000,Diesel,Automatic,22.69,2000,2800000,2007
10357,Maruti,Wagon R,6,20000,Petrol,Manual,20.51,1000,325000,1999
1079,Ford,Ecosport,8,98813,Diesel,Manual,22.77,1500,350000,2013
9472,Hyundai,Elantra,8,66612,Petrol,Automatic,14.5,1800,690000,2004
6823,Honda,City,5,100000,Diesel,Manual,26.0,1500,650000,1998
8864,Tata,Nexon,3,50000,Diesel,Automatic,21.5,1500,1020000,2017
14972,Maruti,Baleno,3,13422,Petrol,Automatic,21.4,1200,793000,2015
9320,Honda,Amaze,8,67000,Diesel,Manual,25.8,1500,300000,2013
3324,Hyundai,Verna,9,66657,Diesel,Manual,22.32,1600,549000,2006
10252,Skoda,Superb,7,36000,Petrol,Automatic,13.7,1800,1100000,2004
4432,Honda,City,7,51000,Diesel,Manual,25.1,1500,610000,1998
36,Hyundai,i20,3,40000,Petrol,Manual,18.6,1200,598000,2008
7779,Maruti,Swift Dzire,8,75823,Petrol,Manual,19.1,1200,425000,2008
7663,Maruti,Ciaz,3,2700,Petrol,Manual,20.73,1400,812000,2014
5658,Hyundai,i10,13,93535,Petrol,Manual,19.81,1100,275000,2007
3414,Maruti,Swift Dzire,3,30000,Diesel,Manual,28.4,1250,868000,2008
7298,Tata,Nexon,3,4200,Petrol,Manual,17.0,1200,755000,2017
11825,Tata,Safari,7,119000,Diesel,Manual,14.0,2200,690000,1998
7787,Honda,City,6,75000,Diesel,Manual,26.0,1500,650000,1998
6991,Hyundai,Creta,6,65000,Diesel,Manual,19.67,1600,849000,2015
